operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,3,machine,0,2,2,186
1,0,1,1,machine,2,3,5,616
2,0,2,1,machine,6,4,10,1163
3,0,3,3,machine,11,2,13,1829
4,1,0,4,human,0,4,4,2429
5,1,1,0,machine,4,4,8,2733
6,1,2,2,machine,8,2,10,3396
7,1,3,1,machine,10,3,13,3888
8,2,0,5,human,0,5,5,4660
9,2,1,3,machine,5,2,7,5087
10,2,2,0,machine,9,3,12,5458
11,2,3,0,machine,13,4,17,6006
12,3,0,6,human,0,3,3,6898
13,3,1,6,human,3,4,7,7448
14,3,2,3,machine,7,4,11,7812
15,3,3,2,machine,11,2,13,8295
