operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,6,human,0,3,3,370
1,0,1,2,machine,3,3,6,678
2,0,2,4,human,6,5,11,1343
3,0,3,2,machine,11,2,13,1767
4,1,0,1,machine,0,3,3,2246
5,1,1,6,human,3,5,8,3090
6,1,2,0,machine,8,2,10,3272
7,1,3,0,machine,12,3,15,3829
8,2,0,5,human,1,5,6,4661
9,2,1,2,machine,7,2,9,5027
10,2,2,3,machine,10,3,13,5642
11,2,3,1,machine,13,4,17,6066
12,3,0,0,machine,0,2,2,6528
13,3,1,0,machine,3,3,6,7084
14,3,2,1,machine,6,4,10,7691
15,3,3,0,machine,10,2,12,8170
