operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,6,human,0,3,3,370
1,0,1,2,machine,3,3,6,678
2,0,2,3,machine,6,4,10,1283
3,0,3,2,machine,11,2,13,1767
4,1,0,4,human,0,4,4,2429
5,1,1,6,human,4,5,9,3091
6,1,2,0,machine,9,2,11,3273
7,1,3,0,machine,11,3,14,3828
8,2,0,0,machine,0,4,4,4361
9,2,1,0,machine,4,2,6,4900
10,2,2,3,machine,10,3,13,5642
11,2,3,2,machine,13,4,17,6126
12,3,0,5,human,0,3,3,6837
13,3,1,3,machine,3,3,6,7267
14,3,2,2,machine,7,4,11,7752
15,3,3,1,machine,11,2,13,8233
