operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,3,machine,1,2,3,187
1,0,1,1,machine,3,3,6,617
2,0,2,3,machine,6,4,10,1283
3,0,3,0,machine,11,2,13,1643
4,1,0,5,human,0,4,4,2489
5,1,1,6,human,5,5,10,3092
6,1,2,2,machine,10,2,12,3398
7,1,3,3,machine,12,3,15,4012
8,2,0,4,human,0,5,5,4601
9,2,1,0,machine,6,2,8,4902
10,2,2,0,machine,8,3,11,5457
11,2,3,1,machine,11,4,15,6064
12,3,0,6,human,0,3,3,6898
13,3,1,2,machine,3,3,6,7206
14,3,2,1,machine,6,4,10,7691
15,3,3,3,machine,10,2,12,8356
