operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,5,human,2,3,5,311
1,0,1,1,machine,5,3,8,619
2,0,2,1,machine,8,4,12,1165
3,0,3,1,machine,12,2,14,1706
4,1,0,2,machine,0,3,3,2307
5,1,1,2,machine,3,4,7,2852
6,1,2,3,machine,7,2,9,3457
7,1,3,3,machine,9,3,12,4009
8,2,0,4,human,3,5,8,4604
9,2,1,0,machine,8,2,10,4904
10,2,2,0,machine,11,3,14,5460
11,2,3,0,machine,14,4,18,6007
12,3,0,6,human,1,3,4,6899
13,3,1,5,human,6,4,10,7391
14,3,2,2,machine,11,4,15,7756
15,3,3,1,machine,16,2,18,8238
