operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,5,human,1,3,4,310
1,0,1,1,machine,4,3,7,618
2,0,2,3,machine,9,4,13,1286
3,0,3,3,machine,15,2,17,1833
4,1,0,4,human,1,4,5,2430
5,1,1,3,machine,5,4,9,2914
6,1,2,6,human,9,3,12,3643
7,1,3,1,machine,14,3,17,3892
8,2,0,0,machine,0,4,4,4361
9,2,1,0,machine,4,2,6,4900
10,2,2,0,machine,6,3,9,5455
11,2,3,1,machine,10,4,14,6063
12,3,0,6,human,0,3,3,6898
13,3,1,2,machine,3,3,6,7206
14,3,2,2,machine,6,4,10,7751
15,3,3,2,machine,10,2,12,8294
