operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,6,human,0,3,3,370
1,0,1,0,machine,3,3,6,556
2,0,2,1,machine,6,4,10,1163
3,0,3,0,machine,12,2,14,1644
4,1,0,0,machine,0,3,3,2185
5,1,1,2,machine,3,4,7,2852
6,1,2,0,machine,7,2,9,3271
7,1,3,2,machine,10,3,13,3949
8,2,0,4,human,0,5,5,4601
9,2,1,5,human,5,3,8,5210
10,2,2,0,machine,9,3,12,5458
11,2,3,1,machine,12,4,16,6065
12,3,0,5,human,2,3,5,6839
13,3,1,3,machine,5,3,8,7269
14,3,2,3,machine,8,4,12,7813
15,3,3,2,machine,13,2,15,8297
