operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,5,human,2,3,5,311
1,0,1,1,machine,5,3,8,619
2,0,2,0,machine,9,4,13,1106
3,0,3,1,machine,13,2,15,1707
4,1,0,6,human,4,4,8,2553
5,1,1,4,human,9,5,14,2978
6,1,2,3,machine,15,2,17,3465
7,1,3,1,machine,17,3,20,3895
8,2,0,0,machine,0,4,4,4361
9,2,1,0,machine,4,2,6,4900
10,2,2,3,machine,6,3,9,5638
11,2,3,2,machine,11,4,15,6124
12,3,0,6,human,0,3,3,6898
13,3,1,2,machine,3,3,6,7206
14,3,2,2,machine,6,4,10,7751
15,3,3,3,machine,11,2,13,8357
