operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,4,human,0,3,3,248
1,0,1,0,machine,3,3,6,556
2,0,2,0,machine,6,4,10,1103
3,0,3,3,machine,10,2,12,1828
4,1,0,5,human,0,4,4,2489
5,1,1,3,machine,4,4,8,2913
6,1,2,3,machine,8,2,10,3458
7,1,3,2,machine,13,3,16,3952
8,2,0,6,human,1,5,6,4720
9,2,1,4,human,6,3,9,5150
10,2,2,2,machine,9,3,12,5580
11,2,3,0,machine,12,4,16,6005
12,3,0,1,machine,0,2,2,6590
13,3,1,2,machine,2,3,5,7205
14,3,2,1,machine,5,4,9,7690
15,3,3,1,machine,10,2,12,8232
