operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,6,human,0,3,3,370
1,0,1,5,human,5,4,9,862
2,0,2,0,machine,9,4,13,1106
3,0,3,2,machine,13,2,15,1769
4,1,0,2,machine,0,3,3,2307
5,1,1,1,machine,3,4,7,2792
6,1,2,1,machine,7,2,9,3333
7,1,3,1,machine,10,3,13,3888
8,2,0,4,human,0,5,5,4601
9,2,1,4,human,5,3,8,5149
10,2,2,3,machine,11,3,14,5643
11,2,3,3,machine,15,4,19,6188
12,3,0,0,machine,0,2,2,6528
13,3,1,0,machine,2,3,5,7083
14,3,2,2,machine,7,4,11,7752
15,3,3,2,machine,11,2,13,8295
