operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,4,human,0,3,3,248
1,0,1,3,machine,3,3,6,739
2,0,2,0,machine,6,4,10,1103
3,0,3,1,machine,11,2,13,1705
4,1,0,5,human,1,4,5,2490
5,1,1,6,human,5,5,10,3092
6,1,2,0,machine,10,2,12,3274
7,1,3,2,machine,12,3,15,3951
8,2,0,1,machine,0,4,4,4421
9,2,1,1,machine,4,2,6,4962
10,2,2,3,machine,6,3,9,5638
11,2,3,3,machine,9,4,13,6182
12,3,0,6,human,0,3,3,6898
13,3,1,0,machine,3,3,6,7084
14,3,2,3,machine,13,4,17,7818
15,3,3,2,machine,17,2,19,8301
