operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,0,machine,0,2,2,0
1,0,1,1,machine,2,3,5,616
2,0,2,3,machine,5,4,9,1282
3,0,3,0,machine,9,2,11,1641
4,1,0,6,human,1,4,5,2550
5,1,1,6,human,7,5,12,3094
6,1,2,3,machine,12,2,14,3462
7,1,3,0,machine,14,3,17,3831
8,2,0,4,human,0,5,5,4601
9,2,1,0,machine,5,2,7,4901
10,2,2,1,machine,7,3,10,5517
11,2,3,2,machine,11,4,15,6124
12,3,0,5,human,0,3,3,6837
13,3,1,2,machine,3,3,6,7206
14,3,2,2,machine,6,4,10,7751
15,3,3,3,machine,10,2,12,8356
